id,Cellline,Smadtype,Targetedgenes
2,Immortalized Ovarian Surface Epithelial,Smad 4,RUNX1T1
3,Immortalized Ovarian Surface Epithelial,Smad 4,TRA1
4,Immortalized Ovarian Surface Epithelial,Smad 4,ABAT
5,Immortalized Ovarian Surface Epithelial,Smad 4,C6orf105
6,Immortalized Ovarian Surface Epithelial,Smad 4,KIAA0992
7,Immortalized Ovarian Surface Epithelial,Smad 4,LTBP2
8,Immortalized Ovarian Surface Epithelial,Smad 4,TMEPAI
9,Immortalized Ovarian Surface Epithelial,Smad 4,STARD4
10,Immortalized Ovarian Surface Epithelial,Smad 4,ADAM19
11,Immortalized Ovarian Surface Epithelial,Smad 4,C2orf27
12,Immortalized Ovarian Surface Epithelial,Smad 4,TRPC4
13,Immortalized Ovarian Surface Epithelial,Smad 4,NFAT5
14,Immortalized Ovarian Surface Epithelial,Smad 4,NASP
15,Immortalized Ovarian Surface Epithelial,Smad 4,DNM3
16,Immortalized Ovarian Surface Epithelial,Smad 4,PELI2
17,Immortalized Ovarian Surface Epithelial,Smad 4,KIAA0746
18,Immortalized Ovarian Surface Epithelial,Smad 4,MGC23985
19,Immortalized Ovarian Surface Epithelial,Smad 4,PELO
20,Immortalized Ovarian Surface Epithelial,Smad 4,CFLAR
21,Immortalized Ovarian Surface Epithelial,Smad 4,SRPK2
22,Immortalized Ovarian Surface Epithelial,Smad 4,MCTP1
23,Immortalized Ovarian Surface Epithelial,Smad 4,BAT2D1
24,Immortalized Ovarian Surface Epithelial,Smad 4,HERC1
25,Immortalized Ovarian Surface Epithelial,Smad 4,PSCD1
26,Immortalized Ovarian Surface Epithelial,Smad 4,FNTB
27,Immortalized Ovarian Surface Epithelial,Smad 4,SOX4
28,Immortalized Ovarian Surface Epithelial,Smad 4,UGDH
29,Immortalized Ovarian Surface Epithelial,Smad 4,STK38L
30,Immortalized Ovarian Surface Epithelial,Smad 4,CSNK1A1
31,Immortalized Ovarian Surface Epithelial,Smad 4,FGF2
32,Immortalized Ovarian Surface Epithelial,Smad 4,HLX1
33,Immortalized Ovarian Surface Epithelial,Smad 4,TNC
34,Immortalized Ovarian Surface Epithelial,Smad 4,DDAH1
35,Immortalized Ovarian Surface Epithelial,Smad 4,MSN
36,Immortalized Ovarian Surface Epithelial,Smad 4,SPOCD1
37,Immortalized Ovarian Surface Epithelial,Smad 4,MICAL2
38,Immortalized Ovarian Surface Epithelial,Smad 4,RASA2
39,Immortalized Ovarian Surface Epithelial,Smad 4,ARHGEF10
40,Immortalized Ovarian Surface Epithelial,Smad 4,PPP4R2
41,Immortalized Ovarian Surface Epithelial,Smad 4,USP4
42,Immortalized Ovarian Surface Epithelial,Smad 4,GPR68
43,Immortalized Ovarian Surface Epithelial,Smad 4,ARHGAP5
44,Immortalized Ovarian Surface Epithelial,Smad 4,GTF2H2
45,Immortalized Ovarian Surface Epithelial,Smad 4,ST6GAL2
46,Immortalized Ovarian Surface Epithelial,Smad 4,PLXND1
47,Immortalized Ovarian Surface Epithelial,Smad 4,LCP1
48,Immortalized Ovarian Surface Epithelial,Smad 4,FBXO32
49,Immortalized Ovarian Surface Epithelial,Smad 4,P4HA3
50,Immortalized Ovarian Surface Epithelial,Smad 4,HSF2BP
51,Immortalized Ovarian Surface Epithelial,Smad 4,TRIP11
