id,Cellline,Smadtype,Targetedgenes
1,IOSE,Smad 4,UBE3C
2,IOSE,Smad 4,RUNX1T1
3,IOSE,Smad 4,TRA1
4,IOSE,Smad 4,ABAT
5,IOSE,Smad 4,C6orf105
6,IOSE,Smad 4,KIAA0992
7,IOSE,Smad 4,LTBP2
8,IOSE,Smad 4,TMEPAI
9,IOSE,Smad 4,STARD4
10,IOSE,Smad 4,ADAM19
11,IOSE,Smad 4,C2orf27
12,IOSE,Smad 4,TRPC4
13,IOSE,Smad 4,NFAT5
14,IOSE,Smad 4,NASP
15,IOSE,Smad 4,DNM3
16,IOSE,Smad 4,PELI2
17,IOSE,Smad 4,KIAA0746
18,IOSE,Smad 4,MGC23985
19,IOSE,Smad 4,PELO
20,IOSE,Smad 4,CFLAR
21,IOSE,Smad 4,SRPK2
22,IOSE,Smad 4,MCTP1
23,IOSE,Smad 4,BAT2D1
24,IOSE,Smad 4,HERC1
25,IOSE,Smad 4,PSCD1
26,IOSE,Smad 4,FNTB
27,IOSE,Smad 4,SOX4
28,IOSE,Smad 4,UGDH
29,IOSE,Smad 4,STK38L
30,IOSE,Smad 4,CSNK1A1
31,IOSE,Smad 4,FGF2
32,IOSE,Smad 4,HLX1
33,IOSE,Smad 4,TNC
34,IOSE,Smad 4,DDAH1
35,IOSE,Smad 4,MSN
36,IOSE,Smad 4,SPOCD1
37,IOSE,Smad 4,MICAL2
38,IOSE,Smad 4,RASA2
39,IOSE,Smad 4,ARHGEF10
40,IOSE,Smad 4,PPP4R2
41,IOSE,Smad 4,USP4
42,IOSE,Smad 4,GPR68
43,IOSE,Smad 4,ARHGAP5
44,IOSE,Smad 4,GTF2H2
45,IOSE,Smad 4,ST6GAL2
46,IOSE,Smad 4,PLXND1
47,IOSE,Smad 4,LCP1
48,IOSE,Smad 4,FBXO32
49,IOSE,Smad 4,P4HA3
50,IOSE,Smad 4,HSF2BP
51,IOSE,Smad 4,TRIP11
52,IOSE,Smad 4,SLC35F2
53,IOSE,Smad 4,RGS7
54,IOSE,Smad 4,CD3G
55,IOSE,Smad 4,ARL2BP
56,IOSE,Smad 4,MGC39518
57,IOSE,Smad 4,DENR
58,IOSE,Smad 4,SPATA5L1
59,IOSE,Smad 4,FLJ23518
60,IOSE,Smad 4,TTC14
61,IOSE,Smad 4,MAP3K7IP2
62,IOSE,Smad 4,TCF12
63,IOSE,Smad 4,LRCH1
64,IOSE,Smad 4,ZNF132
65,IOSE,Smad 4,HIPK3
66,IOSE,Smad 4,FAM29A
67,IOSE,Smad 4,TBX3
68,IOSE,Smad 4,PTHLH
69,IOSE,Smad 4,IL6
70,IOSE,Smad 4,IL7
71,IOSE,Smad 4,ARMC8
72,IOSE,Smad 4,ZNF638
73,IOSE,Smad 4,RANBP9
74,IOSE,Smad 4,MCL1
75,IOSE,Smad 4,SFRS5
76,IOSE,Smad 4,UBE2D3
77,IOSE,Smad 4,ZNF146
78,IOSE,Smad 4,DKK1
79,IOSE,Smad 4,PRDM1
80,IOSE,Smad 4,C6orf62
81,IOSE,Smad 4,ATXN1
82,IOSE,Smad 4,GPHN
83,IOSE,Smad 4,JMJD2C
84,IOSE,Smad 4,FRAT1
85,IOSE,Smad 4,CXXC6
86,IOSE,Smad 4,SAMD3
87,IOSE,Smad 4,SSBP2
88,IOSE,Smad 4,TSLP
89,IOSE,Smad 4,MMP3
90,IOSE,Smad 4,TXNRD1
91,IOSE,Smad 4,LAMA4
92,IOSE,Smad 4,NTN4
93,IOSE,Smad 4,THBD
94,IOSE,Smad 4,HERC6
95,IOSE,Smad 4,FLJ20035
96,IOSE,Smad 4,ENPP2
97,IOSE,Smad 4,PIR
98,IOSE,Smad 4,GYPC
99,IOSE,Smad 4,GCNT2
100,IOSE,Smad 4,DMBT1
101,IOSE,Smad 4,KITLG
102,IOSE,Smad 4,LIPT1
103,IOSE,Smad 4,IFRG28
104,IOSE,Smad 4,CAMK2D
105,IOSE,Smad 4,TM4SF1
106,IOSE,Smad 4,RGS4
107,IOSE,Smad 4,EPB41L4B
108,IOSE,Smad 4,ADPN
109,IOSE,Smad 4,ADORA2B
110,IOSE,Smad 4,APOL6
111,IOSE,Smad 4,DZIP3
112,IOSE,Smad 4,APOL3
113,IOSE,Smad 4,EMP1
114,IOSE,Smad 4,KIAA1946
115,IOSE,Smad 4,FLJ23235
116,IOSE,Smad 4,CASP8
117,IOSE,Smad 4,SYNGR1
118,IOSE,Smad 4,EBF
119,IOSE,Smad 4,TNFSF13B
120,IOSE,Smad 4,EPSTI1
121,IOSE,Smad 4,OAS1
122,IOSE,Smad 4,FLJ14054
123,IOSE,Smad 4,SYTL2
124,IOSE,Smad 4,ABCA8
125,IOSE,Smad 4,C6orf192
126,IOSE,Smad 4,KLF12
127,IOSE,Smad 4,KLF9
128,IOSE,Smad 4,SEMA4B
129,IOSE,Smad 4,SEPT9
130,IOSE,Smad 4,FBXL14
131,IOSE,Smad 4,PREX1
132,IOSE,Smad 4,PRR7
133,IOSE,Smad 4,BDNF
134,IOSE,Smad 4,SNTB2
135,IOSE,Smad 4,SASH1
136,IOSE,Smad 4,TGFBR2
137,IOSE,Smad 4,SMAD3
138,IOSE,Smad 4,THRAP5
139,IOSE,Smad 4,SP110
140,IOSE,Smad 4,MTUS1
141,IOSE,Smad 4,DNAJC6
142,IOSE,Smad 4,IBRDC2
143,IOSE,Smad 4,FOXG1B
144,IOSE,Smad 4,RGS17
145,IOSE,Smad 4,FLJ11000
146,IOSE,Smad 4,LRRC20
147,IOSE,Smad 4,GLIS1
148,IOSE,Smad 4,NAV3
149,IOSE,Smad 4,HDAC9
150,IOSE,Smad 4,IL1B
151,A2780,Smad 4,ATP9A
152,A2780,Smad 4,CUZD1
153,A2780,Smad 4,PALLD
154,A2780,Smad 4,RNF157
155,A2780,Smad 4,TJP2
156,A2780,Smad 4,IGSF4D
157,A2780,Smad 4,ROBO2
158,A2780,Smad 4,FRMD3
159,A2780,Smad 4,EDIL3
160,A2780,Smad 4,HOOK3
161,A2780,Smad 4,MCF2
